match_id,radiant_team_id,r_kills,r_deaths,r_assists,r_xpm,r_gpm,dire_team_id,d_kills,d_deaths,d_assists,d_xpm,d_gpm
6381444753,8483124,33,22,65,2195,2839,8589585,21,35,40,1520,1915
6317854868,8589829,39,28,116,2470,2816,8590515,26,39,70,2251,2849
6369143445,8589829,34,36,75,2374,3003,8590020,36,35,77,2146,2679
6286444694,8483124,12,21,33,1710,2183,8589829,21,12,37,2216,2691
6275327380,8589585,21,39,49,1821,2404,8589829,39,22,86,2320,3094
6317811611,8589139,32,30,67,2089,2654,8590020,30,32,76,2216,2759
6381480351,8614218,8,45,14,1396,1749,8590515,44,10,97,2435,3009
6330728099,8596276,29,35,68,1901,2442,8589135,35,31,71,2178,2840
6381426595,8590020,30,28,75,2407,3102,8589135,27,32,48,2153,2995
6307473319,8589122,17,21,29,1842,2236,8589829,20,17,43,2248,2859
6330664362,8589139,18,37,35,1713,2224,8597526,37,20,77,2342,2756
6275287468,8589135,2,35,7,1143,1190,8597064,35,3,69,2172,2495
6286394801,8589829,19,37,32,2000,2532,8483124,37,19,104,2384,3010
6307470002,8589139,46,24,110,2237,3129,8589585,24,46,42,1460,1764
6317861810,8589122,39,21,78,2419,3150,8589564,21,40,44,1840,2310
6317884084,8597064,15,44,41,1940,2324,8483124,44,16,89,2595,3355
6330725297,8597526,18,10,47,2025,2395,8589139,9,18,14,1882,2015
6369144503,8589122,12,30,24,1639,2158,8590920,30,12,73,2124,2956
6286433207,8597526,40,50,84,1849,2505,8589585,48,40,131,2280,3284
6330685885,8483124,43,30,84,2425,3286,8589122,29,43,58,2109,2769
6369150401,8597526,21,47,41,1653,2075,8589564,47,21,106,2632,3155
6317807298,8589122,40,39,63,2357,3191,8589564,38,40,87,2523,3356
6286373317,8589135,8,30,16,1549,1746,8590920,30,8,65,2178,2792
6286373829,8590515,36,23,90,2125,3022,8589564,23,37,37,1919,2521
6275322312,8597064,30,22,57,2046,2645,8589135,21,30,54,1709,2221
6330752457,8589122,15,23,24,1657,1875,8483124,22,15,41,2212,2696
6275289548,8589585,5,27,11,1389,1683,8589829,27,5,55,2248,2619
6381440462,8597064,20,45,34,1856,2458,8589564,45,21,126,2296,3410
6381423055,8589122,44,34,100,2746,3210,8596276,33,45,88,2133,2655
6381493711,8597064,52,32,117,2470,3113,8589564,32,53,75,2364,2655
6307506137,8589139,24,36,55,2203,2684,8589585,36,24,75,2095,2669
6369075424,8597526,32,49,74,2472,3054,8589564,47,35,123,2102,3105
6330746081,8590515,57,54,146,2802,3024,8590020,53,58,114,2643,3098
6369135842,8597064,28,38,67,1958,2574,8596276,37,28,89,2284,2796
6317813990,8596276,17,34,34,1581,2030,8590920,32,17,59,2301,2965
6381491695,8589122,26,37,51,1976,2719,8596276,36,27,83,2191,2852
6275301616,8475296,30,39,55,1984,2662,8589564,39,31,92,2406,3229
6369074161,8590020,26,50,56,1972,2676,8589829,48,26,109,2443,3259
6275266036,8590515,29,22,66,2109,2597,8590920,22,30,46,1646,2184
6317824500,8483124,35,42,86,2462,2999,8597064,40,36,88,2294,2963
6307515894,8589122,17,33,38,1500,1866,8589829,33,18,77,2203,2695
6307500279,8590020,31,10,52,2134,2721,8590920,10,31,20,1367,1681
6307577334,8475296,17,38,32,1882,2542,8589135,38,17,75,2300,3123
6307458553,8590920,19,33,38,1687,2227,8590020,33,19,62,2211,2769
6330673404,8589829,41,25,81,2270,3065,8589564,25,41,46,1904,2604
6275360253,8597526,49,29,129,2160,3130,8596276,27,50,68,1911,2619
6275258110,8475296,25,41,42,1886,2555,8589564,40,26,89,2347,2805
