match_id,radiant_team_id,r_kills,r_deaths,r_assists,r_xpm,r_gpm,dire_team_id,d_kills,d_deaths,d_assists,d_xpm,d_gpm
6381489667,8589135,50,62,120,2764,3267,8590020,62,51,119,2980,3007
6267131400,8589122,42,38,115,2640,3091,8589139,38,44,76,2336,2845
6381431560,8590515,37,25,79,2370,3067,8597526,25,37,56,1850,2409
6317862413,8590920,46,35,117,2427,2722,8596276,35,47,90,2336,2850
6369076221,8589139,23,33,32,1757,2410,8589135,33,23,75,2277,3114
6307442963,8596276,33,43,75,2143,2837,8590515,43,33,94,2405,3032
6286379796,8597064,23,54,54,2040,2623,8589122,54,23,109,2427,3273
6330744601,8597064,32,14,60,2184,2920,8589585,14,32,27,1674,2040
6286421532,8589135,32,39,66,2155,2885,8590920,39,32,85,2277,2993
6369134110,8589139,41,43,96,2535,3104,8589135,42,43,107,2344,3031
6267090718,8589122,28,7,53,2133,2753,8589139,7,28,15,1450,1712
6286412066,8475296,8,30,14,1688,2034,8590020,30,9,69,2337,2829
6307512104,8590515,38,6,88,2190,2825,8596276,6,38,17,1400,1591
6307526706,8597064,42,19,89,2432,3277,8597526,18,42,40,1713,2218
6286422835,8590515,27,46,50,2032,2561,8589564,45,31,116,2264,2994
6330735415,8589829,31,18,69,2250,2819,8589564,16,31,36,1716,2273
6275318844,8597526,14,44,30,1538,1734,8596276,44,15,108,2351,3118
6286382396,8596276,37,16,89,2137,2971,8589139,15,40,33,1759,2415
6317807681,8597526,18,53,39,1698,2220,8589135,47,19,101,2517,3520
6275314501,8590020,7,27,19,1616,1721,8483124,26,7,55,2353,2799
6286376774,8589585,29,48,61,2004,2583,8597526,47,30,99,2126,2927
6286369608,8590020,39,13,92,2316,2812,8475296,12,39,24,1516,1774
6381503818,8590920,32,34,62,1724,2442,8589829,33,33,81,2222,3089
6307478616,8597526,45,31,122,2210,3090,8597064,31,47,64,1871,2607
6317865564,8590020,32,21,79,2375,3065,8589139,20,32,29,1742,2281
6317811805,8590515,31,17,94,2427,3114,8589829,17,31,29,1822,2262
6275272028,8483124,29,7,65,2146,2792,8590020,7,29,8,1407,1705
6330677601,8590020,20,37,60,1915,2437,8590515,37,22,59,2422,3039
6307544163,8475296,21,23,45,1813,2166,8589135,22,21,54,2250,2853
6330676580,8596276,29,12,69,2136,2760,8589135,12,29,22,1487,1705
6286429548,8589122,37,34,108,2225,2816,8597064,34,38,72,2576,2985
6381491055,8589585,9,37,13,1393,1740,8483124,37,9,89,2156,2986
6317850228,8597526,42,23,104,2310,3301,8589135,22,42,45,1759,2236
6275307641,8590920,31,46,51,1931,2601,8590515,45,32,104,2492,3155
6330673538,8597064,42,40,94,2403,3236,8589585,40,42,99,2086,3099
6286425478,8589139,35,22,71,2123,2839,8596276,21,35,47,1494,1941
6381449097,8589829,30,21,72,2338,2933,8590920,21,30,42,2016,2711
